wallet_id,paid_total,power
0x2f936d2c07523b9ea0befffab451399ece62968c,0.00000,673.67 Mh/s
0xa4476344c0526030153702fd5c12a69820e54168,0.30310,468.22 Mh/s
0x5521677480e948d872ad82b180731f809fd4b0e8,14.61121,224.56 Mh/s
0x70ed162b8c66b3ca235479fd30cb01537ec49ebe,7.47137,286.67 Mh/s
0x3e277b6949c705aeda874a13dae3d74a6e77012d,0.75302,172.00 Mh/s
0xcec454d2cdb3d0327b96d76158ba7bbd5688e186,3.13517,62.11 Mh/s
0x7f151fafb696dfb78b78eecdf0b3afa6a26114ba,1.57710,148.11 Mh/s
0xe8d78650befece629eb5d741855273441d8956e1,0.00000,124.22 Mh/s
0xf58a0a68fe70565869b7f03850cdd828d083f581,2.02147,100.33 Mh/s
0x54b8f677fa8a3b6c0aeb93e49588f16f0ae0c4f2,0.00000,0.00000
0x8165dd89863a13ffac59a6b89ffc0b645b260f4b,0.00000,0.00000
0x9ff3387f64e3b324da18a776ccae74d73758faa2,0.00000,0.00000
